easy_sample_02_3.txt
rows=3969
cols=3850
(0, 1729, 425)
(0, 840, -432)
(0, 1952, -858)
(0, 438, -932)
(0, 1345, 460)
(0, 1270, -389)
(0, 1037, 733)
(0, 724, -644)
(0, 2482, -243)
(0, 2456, 366)
(0, 484, -704)
(0, 1339, -800)
(0, 3074, -564)
(0, 1898, 384)
(0, 901, 39)
(0, 1585, -951)
(0, 929, 882)
(0, 37, 284)
(0, 1523, -673)
(0, 3421, 640)
(0, 1227, -674)
(0, 189, -556)
(0, 1341, -955)
(0, 1113, -949)
(0, 504, -832)
(0, 144, 539)
(0, 832, -637)
(0, 556, -874)
(0, 1214, -716)
(0, 1406, -601)
(0, 2017, -823)
(0, 1010, -565)
(0, 3186, 746)
(0, 2902, 10)
(0, 3351, -774)
(0, 1840, 355)
(0, 2782, -551)
(0, 2540, 726)
(0, 279, 764)
(0, 1821, -407)
(0, 1141, -804)
(0, 533, -62)
(0, 306, -811)
(0, 772, 324)
(0, 2831, -881)
(0, 1744, -786)
(0, 1257, -316)
(0, 3218, -731)
(0, 464, -660)
(0, 1862, -84)
(0, 898, -1020)
(0, 1445, -735)
(0, 3311, 41)
(0, 3596, 316)
(0, 461, -109)
(0, 1453, 395)
(0, 771, -927)
(0, 1129, -92)
(0, 165, -986)
(0, 1192, -767)
(0, 2147, -695)
(0, 185, -564)
(0, 230, -735)
(0, 1148, -271)
(0, 2303, -656)
(0, 1418, -534)
(0, 3284, -580)
(0, 2407, 45)
(0, 1192, -559)
(0, 2286, -989)
(0, 70, 648)
(0, 816, 148)
(0, 349, 749)
(0, 1866, 168)
(0, 2923, -928)
(0, 3146, 292)
(0, 3373, -44)
(0, 2915, -988)
(0, 818, 116)
(0, 675, -103)
(0, 2160, -622)
(0, 2472, -692)
(0, 3423, -971)
(0, 250, 705)
(0, 231, -934)
(0, 2826, 534)
(0, 1720, -953)
(0, 1358, -550)
(0, 1205, -1015)
(0, 2072, -618)
(0, 518, -232)
(0, 267, -23)
(0, 376, -584)
(0, 2132, -559)
(0, 690, -961)
(0, 221, 191)
(0, 302, -639)
(0, 3322, -752)
(0, 2939, 1018)
(0, 2258, -971)
(0, 1598, -901)
(0, 1250, -420)
(0, 1037, -933)
(0, 651, -53)
(0, 3458, -33)
(0, 1575, 905)
(0, 1560, -1005)
(0, 2244, -658)
(0, 1155, -862)
(0, 759, -896)
(0, 980, 74)
(0, 1342, -426)
(0, 339, -571)
(0, 3535, 587)
(0, 2983, -137)
(0, 1134, -896)
(0, 864, -692)
(0, 1915, -256)
(0, 867, -999)
(0, 3428, -856)
(0, 757, -882)
(0, 1452, -438)
(0, 2693, -606)
(0, 108, -551)
(0, 347, -268)
(0, 830, 527)
(0, 688, -440)
(0, 1207, -1012)
(0, 3746, -54)
(0, 512, 138)
(0, 1854, -48)
(0, 1024, -269)
(0, 871, -820)
(0, 1026, 195)
(0, 2563, -618)
(0, 3720, -640)
(0, 2623, 713)
(0, 2905, -841)
(0, 1368, 261)
(0, 1824, 866)
(0, 1293, -945)
(0, 753, -561)
(0, 1143, -886)
(0, 1195, -305)
(0, 1463, 741)
(0, 1854, -846)
(0, 679, 803)
(0, 3521, 149)
(0, 2923, -753)
(0, 2457, -604)
(0, 2466, -310)
(0, 3097, 193)
(0, 1241, 600)
(0, 343, 605)
(0, 1234, -937)
(0, 360, -518)
(0, 705, -674)
(0, 1998, -556)
(0, 1193, 616)
(0, 1593, -590)
(0, 596, -790)
(0, 3698, -589)
(0, 3218, -575)
(0, 1496, 760)
(0, 2359, -525)
(0, 3838, 230)
(0, 2764, 811)
(1, 751, -1008)
(1, 6, -645)
(1, 344, -775)
(1, 1119, -750)
(1, 2240, 158)
(1, 2549, 425)
(1, 631, -616)
(1, 606, -546)
(1, 2903, 597)
(1, 1909, 37)
(1, 225, 199)
(1, 88, -567)
(1, 788, -663)
(1, 1221, -273)
(1, 1071, 788)
(1, 2935, -661)
(1, 119, -529)
(1, 1151, -255)
(1, 1624, 583)
(1, 1516, -814)
(1, 1275, 247)
(1, 652, -148)
(1, 2254, -654)
(1, 1669, 161)
(1, 1334, -975)
(1, 330, -824)
(1, 1513, -1009)
(1, 147, -312)
(1, 1648, -886)
(1, 1167, -846)
(1, 949, -908)
(1, 2375, -934)
(1, 1112, 896)
(1, 1848, -756)
(1, 2182, 623)
(1, 762, -832)
(1, 3410, -585)
(1, 791, -846)
(1, 1754, -447)
(1, 215, -869)
(1, 1574, -966)
(1, 2461, -698)
(1, 3680, 211)
(1, 3657, -236)
(1, 1669, -647)
(1, 2443, -568)
(1, 219, -542)
(1, 3831, -891)
(1, 903, -413)
(1, 908, -869)
(1, 1508, -568)
(1, 3418, -942)
(1, 513, -699)
(1, 918, -548)
(1, 1943, -562)
(1, 2122, -590)
(1, 2678, 723)
(1, 1433, -795)
(1, 1734, -688)
(1, 2923, -874)
(1, 580, -572)
(1, 2646, -671)
(1, 507, -81)
(1, 62, -631)
(1, 606, 483)
(1, 1062, -573)
(1, 395, -560)
(1, 1265, -816)
(1, 3123, -997)
(1, 137, -535)
(1, 2202, 362)
(1, 390, -958)
(1, 1599, -695)
(1, 1841, -762)
(1, 2399, 118)
(1, 1679, -663)
(1, 582, -736)
(1, 1840, 1000)
(1, 731, -861)
(1, 1650, 87)
(1, 1563, 425)
(1, 19, -951)
(1, 290, -855)
(1, 3723, -758)
(1, 1152, -833)
(1, 386, -449)
(1, 2902, 743)
(1, 1475, -615)
(1, 2829, 963)
(1, 62, -926)
(1, 292, -427)
(1, 79, -773)
(1, 1136, -977)
(1, 1782, -933)
(1, 1868, -781)
(1, 15, -292)
(1, 191, 16)
(1, 362, -258)
(1, 1624, 624)
(1, 314, -554)
(1, 1263, -188)
(1, 2673, -698)
(1, 713, -619)
(1, 1302, 640)
(1, 228, -766)
(1, 1936, -100)
(1, 707, 619)
(1, 1490, -870)
(1, 421, -819)
(1, 3039, -785)
(1, 2267, -526)
(1, 3486, -613)
(1, 1905, -709)
(1, 1451, 127)
(1, 1187, -541)
(1, 861, -761)
(1, 1487, -606)
(1, 103, 946)
(1, 207, 1020)
(1, 3195, 821)
(1, 1475, -533)
(1, 1643, -542)
(1, 119, -609)
(1, 474, -318)
(1, 891, -612)
(1, 1509, 154)
(1, 2181, -653)
(1, 529, -627)
(1, 191, 237)
(1, 1739, -889)
(1, 3321, -669)
(1, 3521, -847)
(1, 397, -392)
(1, 1540, -959)
(1, 1843, -840)
(1, 1633, -236)
(1, 1763, -675)
(1, 3187, -945)
(1, 1232, -835)
(1, 2429, -321)
